k, PS21, Noise PS, Obsvd PS (PS21 + Noise)
2.117860, 39.361033, 2502.681563, 2542.042596
2.133454, 39.723771, 12961.760989, 13001.484760
2.149049, 40.086509, 4748.967402, 4789.053911
2.164644, 40.449247, 20298.791283, 20339.240530
2.180239, 40.811985, 17033.518592, 17074.330576
2.195834, 41.174723, 43.868092, 85.042814
2.211428, 41.537461, 3292.872843, 3334.410304
2.227023, 41.900198, 12049.821605, 12091.721803
2.242618, 42.262936, 791.298678, 833.561615
2.258213, 42.625674, 2845.023585, 2887.649259
2.273807, 42.988412, 1031.528510, 1074.516922
2.289402, 43.351150, 18183.411068, 18226.762219
2.304997, 43.713888, 7203.302617, 7247.016505
2.320592, 44.076626, 5135.338986, 5179.415612
2.336187, 44.439364, 2322.714100, 2367.153464
2.351781, 44.802102, 2413.074980, 2457.877082
2.367376, 45.164840, 1714.010328, 1759.175167
2.382971, 45.527577, 913.022440, 958.550018
2.398566, 45.910713, 432.516522, 478.427235
2.414160, 46.494148, 2906.588796, 2953.082944
2.429755, 47.077583, 3193.050664, 3240.128247
2.445350, 47.661019, 24.690036, 72.351055
2.460945, 48.244454, 5.472849, 53.717303
2.476539, 48.827889, 8388.995724, 8437.823614
2.492134, 49.411324, 13641.646142, 13691.057466
2.507729, 49.994760, 3228.103349, 3278.098109
2.523324, 50.578195, 4168.565911, 4219.144106
2.538919, 51.161630, 391.922607, 443.084237
2.554513, 51.745066, 3131.759915, 3183.504980
2.570108, 52.328501, 45706.598318, 45758.926818
2.585703, 52.911936, 535.415836, 588.327772
2.601298, 53.495371, 458.592525, 512.087896
2.616892, 54.078807, 134.854336, 188.933142
2.632487, 54.662242, 12443.453925, 12498.116167
2.648082, 55.245677, 8009.547692, 8064.793369
2.663677, 55.829112, 95.808309, 151.637422
2.679272, 56.412548, 28826.726183, 28883.138731
2.694866, 56.995983, 642.599857, 699.595840
2.710461, 57.579418, 11425.304042, 11482.883460
2.726056, 58.162853, 7039.309789, 7097.472643
2.741651, 58.746289, 9644.455124, 9703.201413
2.757245, 59.329724, 16233.449765, 16292.779489
2.772840, 59.913159, 10570.838931, 10630.752090
2.788435, 60.496594, 7953.485225, 8013.981819
2.804030, 61.080030, 18.453158, 79.533188
2.819625, 61.663465, 4252.701374, 4314.364839
2.835219, 62.246900, 22.271223, 84.518123
2.850814, 62.830335, 5622.822589, 5685.652924
2.866409, 63.413771, 4695.562694, 4758.976465
2.882004, 63.997206, 2613.106908, 2677.104114
2.897598, 64.580641, 23497.274747, 23561.855388
2.913193, 65.164076, 31286.225289, 31351.389365
2.928788, 65.747512, 9077.608511, 9143.356022
2.944383, 66.330947, 21389.853067, 21456.184014
2.959977, 66.914382, 26545.781521, 26612.695903
2.975572, 67.497817, 9968.030627, 10035.528444
2.991167, 68.081253, 19305.978705, 19374.059958
3.006762, 68.664688, 12.822806, 81.487494
3.022357, 69.248123, 111375.349685, 111444.597808
3.037951, 69.831558, 32359.420088, 32429.251646
3.053546, 70.414994, 43.920198, 114.335191
3.069141, 70.998429, 11958.549326, 12029.547754
3.084736, 71.581864, 11733.607352, 11805.189216
3.100330, 72.165299, 18518.106044, 18590.271344
3.115925, 72.748735, 10995.437949, 11068.186684
3.131520, 73.332170, 26127.607579, 26200.939749
